ip1,ip2,port1,port2,proto,pkts12_min,pkts12_mid,pkts12_max,pkts21_min,pkts21_mid,pkts21_max,pkl12_min,pkl12_mid,pkl12_max,pkl21_min,pkl21_mid,pkl21_max,behavior_tag,topology_tag,class,app,community_tag
192.168.7.34,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,70.0,73.0,275.0,301.0,495.0,0,1_1,8,916,90
192.168.7.38,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,64.0,72.0,174.0,281.0,461.0,0,1_1,8,916,90
192.168.7.39,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,334.0,334.0,334.0,0,1_1,8,916,90
192.168.7.40,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,69.0,71.0,126.0,230.0,364.0,0,1_1,8,916,90
192.168.7.42,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,66.5,71.0,126.0,230.0,334.0,0,1_1,8,916,90
192.168.7.47,202.106.0.20,10.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,54.0,71.0,126.0,289.5,385.0,1,1_1,8,916,91
192.168.7.49,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.66,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,71.0,71.0,126.0,410.0,518.0,0,1_1,8,916,90
192.168.7.79,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.94,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.97,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,72.0,73.0,345.0,358.0,404.0,0,1_1,8,916,90
192.168.6.237,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,74.0,82.0,139.0,526.0,539.0,-1,1_3,8,916,92
192.168.6.254,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,54.5,72.0,284.0,301.5,539.0,-1,1_3,8,916,92
192.168.7.187,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,77.0,77.0,77.0,534.0,534.0,534.0,-1,1_3,8,916,92
192.168.7.215,202.106.0.20,31.0,1.0,17.0,2.0,2.0,4.0,2.0,2.0,4.0,55.0,64.0,74.0,232.0,291.0,520.0,-1,1_3,8,916,92
192.168.7.49,202.106.0.20,35.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,-2,1_4,8,916,94
202.106.0.20,192.168.7.215,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,276.0,276.0,276.0,63.0,63.0,63.0,-2,1_43,8,916,93
192.168.6.242,110.173.196.58,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,216.33333333333334,216.33333333333334,216.33333333333334,52.0,52.0,52.0,-2,200_200,5,351,95
40.121.213.159,192.168.1.19,1.0,1.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,1189.2,1189.2,1189.2,147.0,147.0,147.0,-2,201_201,8,913,96
192.168.6.237,101.28.134.19,1.0,1.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,84.0,84.0,84.0,824.875,824.875,824.875,-2,202_202,8,237,97
192.168.6.237,161.69.13.155,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,80.33333333333333,80.33333333333333,80.33333333333333,1014.6666666666666,1014.6666666666666,1014.6666666666666,-2,203_203,8,913,98
192.168.7.202,119.188.151.8,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,129.33333333333334,129.33333333333334,129.33333333333334,52.0,52.0,52.0,-2,204_204,5,668,99
